FOV,Round,Channel,Spot Count
X22_Y6,1,Alexa_647,463
X22_Y6,1,Atto_490LS,657
X22_Y6,2,Atto_425,547
X22_Y6,2,DAPI,300
X22_Y6,2,Alexa_488,504
X22_Y6,2,Alexa_568,530
X22_Y6,2,Alexa_647,1255
X22_Y6,2,Atto_490LS,640
X22_Y6,3,Atto_425,391
X22_Y6,3,DAPI,253
X22_Y6,3,Alexa_488,581
X22_Y6,3,Alexa_568,197
X22_Y6,3,Alexa_647,501
X22_Y6,3,Atto_490LS,634
X22_Y6,4,Atto_425,3581
X22_Y6,4,DAPI,245
X22_Y6,4,Alexa_488,414
X22_Y6,4,Alexa_568,493
X22_Y6,4,Alexa_647,135
X22_Y6,4,Atto_490LS,656
FOV,Round,Channel,Spot Count
X11_Y9,1,Atto_425,6290
X11_Y9,1,DAPI,233
X11_Y9,1,Alexa_488,595
X11_Y9,1,Alexa_568,314
X11_Y9,1,Alexa_647,401
X11_Y9,1,Atto_490LS,574
X11_Y9,2,Atto_425,557
X11_Y9,2,DAPI,410
X11_Y9,2,Alexa_488,362
X11_Y9,2,Alexa_568,423
X11_Y9,2,Alexa_647,627
X11_Y9,2,Atto_490LS,504
X11_Y9,3,Atto_425,558
X11_Y9,3,DAPI,213
X11_Y9,3,Alexa_488,449
X11_Y9,3,Alexa_568,158
X11_Y9,3,Alexa_647,42
X11_Y9,3,Atto_490LS,527
X11_Y9,4,Atto_425,2654
X11_Y9,4,DAPI,213
X11_Y9,4,Alexa_488,285
X11_Y9,4,Alexa_568,413
X11_Y9,4,Alexa_647,138
X11_Y9,4,Atto_490LS,533
FOV,Round,Channel,Spot Count
X19_Y9,1,Atto_425,5226
X19_Y9,1,DAPI,214
X19_Y9,1,Alexa_488,831
X19_Y9,1,Alexa_568,311
X19_Y9,1,Alexa_647,396
X19_Y9,1,Atto_490LS,544
X19_Y9,2,Atto_425,484
X19_Y9,2,DAPI,235
X19_Y9,2,Alexa_488,452
X19_Y9,2,Alexa_568,456
X19_Y9,2,Alexa_647,605
X19_Y9,2,Atto_490LS,463
X19_Y9,3,Atto_425,483
X19_Y9,3,DAPI,207
X19_Y9,3,Alexa_488,443
X19_Y9,3,Alexa_568,193
X19_Y9,3,Alexa_647,413
X19_Y9,3,Atto_490LS,507
X19_Y9,4,Atto_425,2444
X19_Y9,4,DAPI,213
X19_Y9,4,Alexa_488,214
X19_Y9,4,Alexa_568,454
X19_Y9,4,Alexa_647,118
X19_Y9,4,Atto_490LS,506
FOV,Round,Channel,Spot Count
X15_Y5,1,Atto_425,2414
X15_Y5,1,DAPI,344
X15_Y5,1,Alexa_488,177
X15_Y5,1,Alexa_568,281
X15_Y5,1,Alexa_647,524
X15_Y5,1,Atto_490LS,687
X15_Y5,2,Atto_425,549
X15_Y5,2,DAPI,349
X15_Y5,2,Alexa_488,471
X15_Y5,2,Alexa_568,340
X15_Y5,2,Alexa_647,1011
X15_Y5,2,Atto_490LS,620
X15_Y5,3,Atto_425,795
X15_Y5,3,DAPI,292
X15_Y5,3,Alexa_488,545
X15_Y5,3,Alexa_568,193
X15_Y5,3,Alexa_647,53
X15_Y5,3,Atto_490LS,633
X15_Y5,4,Atto_425,2965
X15_Y5,4,DAPI,300
X15_Y5,4,Alexa_488,215
X15_Y5,4,Alexa_568,600
X15_Y5,4,Alexa_647,125
X15_Y5,4,Atto_490LS,657
FOV,Round,Channel,Spot Count
X13_Y11,1,Atto_425,1351
X13_Y11,1,DAPI,325
X13_Y11,1,Alexa_488,954
X13_Y11,1,Alexa_568,811
X13_Y11,1,Alexa_647,1071
X13_Y11,1,Atto_490LS,1273
X13_Y11,2,Atto_425,875
X13_Y11,2,DAPI,456
X13_Y11,2,Alexa_488,496
X13_Y11,2,Alexa_568,877
X13_Y11,2,Alexa_647,569
X13_Y11,2,Atto_490LS,1076
X13_Y11,3,Atto_425,712
X13_Y11,3,DAPI,289
X13_Y11,3,Alexa_488,996
X13_Y11,3,Alexa_568,348
X13_Y11,3,Alexa_647,223
X13_Y11,3,Atto_490LS,1109
X13_Y11,4,Atto_425,2619
X13_Y11,4,DAPI,270
X13_Y11,4,Alexa_488,462
X13_Y11,4,Alexa_568,1110
X13_Y11,4,Alexa_647,276
X13_Y11,4,Atto_490LS,1079
FOV,Round,Channel,Spot Count
X11_Y8,1,Atto_425,4539
X11_Y8,1,DAPI,262
X11_Y8,1,Alexa_488,746
X11_Y8,1,Alexa_568,339
X11_Y8,1,Alexa_647,492
X11_Y8,1,Atto_490LS,644
X11_Y8,2,Atto_425,571
X11_Y8,2,DAPI,356
X11_Y8,2,Alexa_488,448
X11_Y8,2,Alexa_568,445
X11_Y8,2,Alexa_647,597
X11_Y8,2,Atto_490LS,580
X11_Y8,3,Atto_425,510
X11_Y8,3,DAPI,237
X11_Y8,3,Alexa_488,541
X11_Y8,3,Alexa_568,244
X11_Y8,3,Alexa_647,83
X11_Y8,3,Atto_490LS,611
X11_Y8,4,Atto_425,3226
X11_Y8,4,DAPI,217
X11_Y8,4,Alexa_488,354
X11_Y8,4,Alexa_568,491
X11_Y8,4,Alexa_647,175
X11_Y8,4,Atto_490LS,618
FOV,Round,Channel,Spot Count
X14_Y4,1,Atto_425,1993
X14_Y4,1,DAPI,371
X14_Y4,1,Alexa_488,227
X14_Y4,1,Alexa_568,371
X14_Y4,1,Alexa_647,626
X14_Y4,1,Atto_490LS,789
X14_Y4,2,Atto_425,674
X14_Y4,2,DAPI,403
X14_Y4,2,Alexa_488,527
X14_Y4,2,Alexa_568,542
X14_Y4,2,Alexa_647,844
X14_Y4,2,Atto_490LS,727
X14_Y4,3,Atto_425,644
X14_Y4,3,DAPI,353
X14_Y4,3,Alexa_488,669
X14_Y4,3,Alexa_568,266
X14_Y4,3,Alexa_647,85
X14_Y4,3,Atto_490LS,767
X14_Y4,4,Atto_425,3762
X14_Y4,4,DAPI,351
X14_Y4,4,Alexa_488,295
X14_Y4,4,Alexa_568,742
X14_Y4,4,Alexa_647,182
X14_Y4,4,Atto_490LS,797
FOV,Round,Channel,Spot Count
X18_Y13,1,Atto_425,1093
X18_Y13,1,DAPI,278
X18_Y13,1,Alexa_488,1024
X18_Y13,1,Alexa_568,493
X18_Y13,1,Alexa_647,745
X18_Y13,1,Atto_490LS,899
X18_Y13,2,Atto_425,662
X18_Y13,2,DAPI,258
X18_Y13,2,Alexa_488,618
X18_Y13,2,Alexa_568,587
X18_Y13,2,Alexa_647,934
X18_Y13,2,Atto_490LS,761
X18_Y13,3,Atto_425,447
X18_Y13,3,DAPI,257
X18_Y13,3,Alexa_488,705
X18_Y13,3,Alexa_568,291
X18_Y13,3,Alexa_647,469
X18_Y13,3,Atto_490LS,775
X18_Y13,4,Atto_425,1185
X18_Y13,4,DAPI,295
X18_Y13,4,Alexa_488,246
X18_Y13,4,Alexa_568,780
X18_Y13,4,Alexa_647,139
X18_Y13,4,Atto_490LS,789
FOV,Round,Channel,Spot Count
X16_Y9,1,Atto_425,5216
X16_Y9,1,DAPI,285
X16_Y9,1,Alexa_488,911
X16_Y9,1,Alexa_568,494
X16_Y9,1,Alexa_647,715
X16_Y9,1,Atto_490LS,906
X16_Y9,2,Atto_425,734
X16_Y9,2,DAPI,327
